"Display Name","Publisher","crypto","dns","fs","http","os","path","tls","dgram","zlib","cluster","process"
"Python","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Jupyter","Microsoft","True","True","True","True","True","True","False","False","True","True","True"
"Pylance","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"C/C++","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Jupyter Keymap","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Jupyter Notebook Renderers","Microsoft","False","False","False","True","True","True","False","False","False","False","False"
"Live Server","Ritwick Dey","False","False","True","True","True","True","False","False","False","False","True"
"Prettier - Code formatter","Prettier","False","False","True","True","True","True","False","False","False","False","True"
"IntelliCode","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"ESLint","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Language Support for Java(TM) by Red Hat","Red Hat","False","False","True","True","True","True","True","False","False","False","True"
"Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Docker","Microsoft","True","False","True","True","True","True","True","False","False","False","True"
"C#","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"GitLens — Git supercharged","GitKraken","True","False","True","True","True","True","False","False","False","False","True"
"Debugger for Java","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Maven for Java","Microsoft","False","False","True","True","True","True","True","False","False","False","True"
"WSL","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Test Runner for Java","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Code Runner","Jun Han","False","False","True","True","True","True","False","False","False","False","True"
"Extension Pack for Java","Microsoft","True","False","True","True","True","True","True","False","False","False","True"
"Project Manager for Java","Microsoft","False","False","True","True","True","True","True","False","False","False","True"
"Dev Containers","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Material Icon Theme","Philipp Kief","False","False","True","True","True","True","False","False","False","True","True"
"CMake","twxs","False","False","False","True","True","False","False","False","False","False","True"
"CMake Tools","Microsoft","True","False","True","True","True","True","False","False","True","False","True"
"Remote - SSH","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"vscode-icons","VSCode Icons Team","False","False","True","True","True","True","False","False","False","False","True"
"HTML CSS Support","ecmel","False","False","True","True","True","True","False","False","False","False","False"
"C/C++ Themes","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Remote - SSH: Editing Configuration Files","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Vetur","Pine Wu","False","False","True","True","True","True","False","False","False","False","True"
"C/C++ Extension Pack","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Auto Rename Tag","Jun Han","False","False","True","False","True","True","False","False","False","False","True"
"Live Share","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"JavaScript (ES6) code snippets","charalampos karypidis","False","False","False","False","False","False","False","False","False","False","False"
"YAML","Red Hat","True","False","True","True","True","True","False","False","False","False","True"
"Better C++ Syntax","Jeff Hykin","True","False","True","False","True","True","False","False","False","False","True"
"[Deprecated] Debugger for Chrome","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Jupyter Cell Tags","Microsoft","False","False","True","True","True","True","False","False","False","False","False"
"Doxygen Documentation Generator","Christoph Schlosser","False","False","True","True","True","True","False","False","False","False","False"
"Jupyter Slide Show","Microsoft","False","False","True","True","True","True","False","False","False","False","False"
"Beautify","HookyQR","False","False","True","False","True","True","False","False","False","False","False"
"HTML Snippets","Mohamed Abusaid","False","False","False","False","False","False","False","False","False","False","False"
"GitHub Pull Requests and Issues","GitHub","True","False","True","True","True","True","False","False","False","False","True"
"Auto Close Tag","Jun Han","False","False","False","False","True","False","False","False","False","False","False"
"Path Intellisense","Christian Kohler","False","False","True","False","True","True","False","False","False","False","False"
"Go","Go Team at Google","False","False","True","True","True","True","False","False","False","False","True"
"PHP Debug","Xdebug","True","False","True","True","True","True","True","False","False","False","True"
"PHP Intelephense","Ben Mewburn","True","False","True","True","True","True","False","False","False","False","True"
"Git History","Don Jayamanne","False","False","True","True","True","True","False","False","False","False","True"
"PowerShell","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"open in browser","TechER","False","False","True","False","True","True","False","False","False","False","True"
"ES7+ React/Redux/React-Native snippets","dsznajder","False","False","True","False","True","True","False","False","False","False","False"
"One Dark Pro","binaryify","False","False","True","True","True","True","False","False","False","False","True"
"IntelliCode API Usage Examples","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"EditorConfig for VS Code","EditorConfig","False","False","True","True","True","True","False","False","False","False","False"
"isort","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"GitHub Theme","GitHub","False","False","True","False","True","False","False","False","False","False","True"
"npm","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Code Spell Checker","Street Side Software","False","False","True","True","True","True","False","False","False","False","True"
"Dart","Dart Code","False","False","True","True","True","True","False","False","True","False","True"
"IntelliSense for CSS class names in HTML","Zignd","False","False","True","True","True","True","False","False","False","False","False"
"[Deprecated] Bracket Pair Colorizer 2","CoenraadS","False","False","True","True","True","True","False","False","False","False","True"
"SQL Server (mssql)","Microsoft","True","False","True","True","True","True","True","False","False","True","True"
"Markdown All in One","Yu Zhang","False","False","True","True","True","True","False","False","False","True","True"
"Django","Baptiste Darthenay","False","False","True","True","True","True","False","False","False","False","True"
"Flutter","Dart Code","False","False","True","False","False","True","False","False","False","False","True"
"npm Intellisense","Christian Kohler","False","False","True","False","True","True","False","False","False","False","False"
"Azure Account","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Python for VSCode","Thomas Haakon Townsend","False","False","True","False","True","True","False","False","False","False","True"
"Japanese Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Jinja","wholroyd","False","False","False","False","False","False","False","False","False","False","False"
"Live Share Audio","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Dracula Official","Dracula Theme","False","False","True","True","False","True","False","False","False","False","False"
"Color Highlight","Sergii N","False","False","True","True","True","True","False","False","False","False","True"
"Tabnine AI Autocomplete for Javascript, Python, Typescript, PHP, Go, Java, Ruby & more","TabNine","False","False","True","True","True","True","False","False","False","False","True"
"C++ Intellisense","austin","False","False","False","False","True","True","False","False","False","False","True"
"markdownlint","David Anson","False","False","True","True","True","True","False","False","False","False","True"
"Vim","vscodevim","False","False","True","True","True","True","False","False","False","False","True"
"Angular Language Service","Angular","True","False","True","True","True","True","False","False","False","False","True"
"indent-rainbow","oderwat","False","False","False","False","True","False","False","False","False","False","False"
"XML Tools","Josh Johnson","False","False","True","False","True","True","False","False","False","False","True"
"Python Extension Pack","Don Jayamanne","False","False","False","False","False","False","False","False","False","False","False"
"Better Comments","Aaron Bond","False","False","True","True","True","True","False","False","False","False","False"
"Atom One Dark Theme","Mahmoud Ali","False","False","False","True","True","False","False","False","False","False","False"
"Git Graph","mhutchie","True","False","True","True","True","True","False","False","False","False","True"
"TSLint","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"CSS Peek","Pranay Prakash","False","False","True","False","True","True","False","False","False","False","True"
"PHP Extension Pack","Xdebug","False","False","False","False","False","False","False","False","False","False","False"
"Markdown Preview Enhanced","Yiyi Wang","False","False","True","True","True","True","False","False","False","False","True"
"Settings Sync","Shan Khan","False","False","True","True","True","True","False","False","False","False","True"
"Angular Snippets (Version 13)","John Papa","False","False","False","False","False","False","False","False","False","False","False"
"autoDocstring - Python Docstring Generator","Nils Werner","False","False","True","True","True","True","False","False","False","False","True"
"XML","Red Hat","True","False","True","True","True","True","False","False","False","False","True"
"DotENV","mikestead","False","False","False","False","False","False","False","False","False","False","False"
"Spanish Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"MagicPython","MagicStack Inc.","False","False","False","False","False","False","False","False","False","False","False"
"Python Indent","Kevin Rose","False","False","False","True","True","False","False","False","False","False","False"
"JS-CSS-HTML Formatter","lonefy","False","False","True","False","True","True","False","False","False","False","False"
"[DEPRECATED] C# Format Revolve","Przemysław Orłowski","False","False","False","False","False","False","False","False","False","False","False"
"Remote Development","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"React Native Tools","Microsoft","True","True","True","True","True","True","True","False","False","False","True"
"TODO Highlight","Wayou Liu","False","False","False","True","True","True","False","False","False","False","True"
"Ruby","Peng Lv","False","False","True","True","True","True","False","False","False","False","True"
"Project Manager","Alessandro Fragnani","False","False","True","True","True","True","False","False","False","False","False"
"Russian Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"REST Client","Huachao Mao","True","True","True","True","True","True","False","False","False","False","True"
"PlatformIO IDE","PlatformIO","True","False","True","True","True","True","False","False","False","False","True"
"Excel Viewer","GrapeCity","True","False","True","True","True","True","False","False","True","True","True"
"GitHub Copilot","GitHub","False","False","False","False","False","False","False","False","False","False","False"
"TSLint (deprecated)","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Vue 3 Snippets","hollowtree","False","False","False","False","False","False","False","False","False","False","False"
"Portuguese (Brazil) Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Auto Import","steoates","False","False","False","False","False","False","False","False","False","False","False"
"Vue Language Features (Volar)","Vue","False","False","True","True","True","True","False","False","False","False","True"
"vscode-pdf","tomoki1207","False","False","True","True","True","True","False","False","False","False","False"
"Live Share Extension Pack","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Todo Tree","Gruntfuggly","True","False","True","True","True","True","False","False","False","False","True"
"Bookmarks","Alessandro Fragnani","False","False","True","True","True","True","False","False","False","False","False"
"Python Environment Manager","Don Jayamanne","True","False","True","True","True","True","False","False","False","False","True"
"CodeLLDB","Vadim Chugunov","False","False","True","True","True","True","False","False","False","False","True"
"Kubernetes","Microsoft","True","True","True","True","True","True","True","False","False","True","True"
"Debugger for Firefox","Firefox DevTools","False","False","True","True","True","True","False","False","False","False","True"
"Bootstrap 4, Font awesome 4, Font Awesome 5 Free & Pro snippets","Ashok Koyi","False","False","False","False","False","False","False","False","False","False","False"
"Live Sass Compiler","Ritwick Dey","True","False","True","True","True","True","False","False","False","False","True"
"C/C++ Compile Run","danielpinto8zz6","False","False","True","True","True","True","False","False","False","False","True"
".NET Install Tool for Extension Authors","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Rainbow CSV","mechatroner","False","False","True","True","True","True","False","False","False","False","True"
"jshint","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"HashiCorp Terraform","HashiCorp","False","False","True","True","True","True","False","False","False","False","True"
"Simple React Snippets","Burke Holland","False","False","False","False","True","False","False","False","False","False","False"
"Laravel Blade Snippets","Winnie Lin","False","False","True","True","True","True","False","False","False","False","True"
"SQLTools","Matheus Teixeira","False","False","True","True","True","True","False","False","False","False","True"
"Angular 10 Snippets - TypeScript, Html, Angular Material, ngRx, RxJS & Flex Layout","Mikael Morlund","False","False","False","False","False","False","False","False","False","False","False"
"Import Cost","Wix","True","False","True","True","True","True","False","False","True","False","True"
"HTML Preview","Thomas Haakon Townsend","False","False","True","True","True","True","False","False","False","False","True"
"LaTeX Workshop","James Yu","False","False","True","True","True","True","False","False","True","False","True"
"Community Material Theme","Equinusocio","False","False","False","False","False","False","False","False","False","False","False"
"Tailwind CSS IntelliSense","Tailwind Labs","False","False","True","True","True","True","False","False","False","False","True"
"GitHub Codespaces","GitHub","False","False","False","False","False","False","False","False","False","False","False"
"Quokka.js","Wallaby.js","False","False","False","False","False","False","False","False","False","False","False"
"gitignore","CodeZombie","False","False","True","True","True","True","False","False","False","False","True"
"Remote Explorer","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"VSCode Ruby","Stafford Brunk","False","False","True","True","True","True","False","False","False","False","True"
"Winter is Coming Theme","John Papa","False","False","False","False","False","False","False","False","False","False","False"
"Material Theme Icons","Equinusocio","False","False","True","False","True","True","False","False","False","False","True"
"Babel JavaScript","Michael McDermott","False","False","False","True","True","True","False","False","False","False","True"
"Spring Initializr Java Support","Microsoft","False","False","True","True","True","True","False","False","False","False","False"
"Peacock","John Papa","False","False","True","True","True","True","False","False","False","False","True"
"Rainbow Brackets","2gua","False","False","False","False","False","False","False","False","False","False","False"
"Korean Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Test Explorer UI","Holger Benl","False","False","False","False","False","False","False","False","False","False","False"
"French Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"HTML Boilerplate","sidthesloth","False","False","False","False","False","False","False","False","False","False","False"
"Red Hat Commons","Red Hat","False","False","False","False","False","False","False","False","False","False","False"
"vue","jcbuisson","False","False","False","False","False","False","False","False","False","False","False"
"Monokai Pro","monokai","False","False","False","False","False","False","False","False","False","False","False"
"Sublime Text Keymap and Settings Importer","Microsoft","False","False","True","False","True","True","False","False","False","False","False"
"Spring Boot Tools","Pivotal","False","False","True","True","True","True","False","False","False","False","True"
"Rust (deprecated)","The Rust Programming Language ","True","False","True","True","True","True","False","False","True","False","True"
"JavaScript and TypeScript Nightly","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Vue VSCode Snippets","sarah.drasner","False","False","False","False","True","False","False","False","False","False","False"
"PHP IntelliSense","Damjan Cvetko","False","False","False","False","True","True","False","False","False","False","True"
"Night Owl","sarah.drasner","False","False","False","False","True","False","False","False","False","False","False"
"C/C++ Runner","franneck94","False","False","True","False","True","True","False","False","False","False","True"
"Material Theme","Equinusocio","False","False","True","False","True","True","False","False","False","False","True"
"Sass","Syler","False","False","True","True","True","True","True","False","False","True","True"
"Azure Resources","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"C# Extensions","jchannon","False","False","True","False","True","True","False","False","False","False","False"
"Azure Functions","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Ayu","teabyii","False","False","True","True","False","True","False","False","False","False","True"
"Data Workspace","Microsoft","True","True","True","True","True","True","True","False","True","True","True"
"jQuery Code Snippets","Don Jayamanne","False","False","False","False","False","False","False","False","False","False","False"
"Arduino","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"One Monokai Theme","Joshua Azemoh","False","False","False","True","False","False","False","False","False","False","False"
"German Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Spring Boot Dashboard","Microsoft","False","False","True","True","True","True","True","False","False","False","True"
"SQL Database Projects","Microsoft","True","True","True","True","True","True","True","False","True","True","True"
"Hex Editor","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"C/C++ Clang Command Adapter","Yasuaki MITANI","False","False","True","True","True","True","False","False","False","False","True"
"Debugger for Unity","Unity Technologies","False","False","False","False","False","False","False","False","False","False","False"
"Git Blame","Wade Anderson","False","False","True","True","True","True","False","False","False","False","True"
"Highlight Matching Tag","vincaslt","False","False","True","False","True","False","False","False","False","False","True"
"Auto Complete Tag","Jun Han","False","False","False","False","False","False","False","False","False","False","False"
"SonarLint","SonarSource","True","False","True","True","True","True","False","False","False","False","True"
"Prettify JSON","Mohsen Azimi","False","False","False","False","False","False","False","False","False","False","False"
"Paste JSON as Code","quicktype","True","True","True","True","True","True","True","False","False","False","True"
"Reactjs code snippets","charalampos karypidis","False","False","False","False","False","False","False","False","False","False","False"
"Search node_modules","Jason Nutter","False","False","True","False","False","True","False","False","False","False","True"
"Thunder Client","Ranga Vadhineni","True","False","False","False","False","True","False","False","False","False","False"
"Laravel Snippets","Winnie Lin","False","False","False","False","False","False","False","False","False","False","False"
"Format HTML in PHP","rifi2k","False","False","False","False","True","False","False","False","False","False","False"
"Test Adapter Converter","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"SQLite","alexcvzz","False","False","True","True","True","True","False","False","False","False","True"
"VSCode Great Icons","Emmanuel Béziat","False","False","False","False","False","False","False","False","False","False","False"
"Terminal","Jun Han","False","False","True","True","True","True","False","False","False","False","True"
"json","ZainChen","False","False","True","True","True","True","False","False","False","False","True"
"Azure Machine Learning","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Java Language Support","George Fraser","False","False","True","True","True","True","False","False","False","False","True"
"phpcs","Ioannis Kappas","False","False","True","True","True","True","False","False","False","False","True"
"Beautify css/sass/scss/less","michelemelluso","False","False","False","False","True","False","False","False","False","False","False"
"Markdown PDF","yzane","False","False","True","True","True","True","False","False","False","False","True"
"Shades of Purple","Ahmad Awais ⚡","False","False","False","False","True","False","False","False","False","False","False"
"Better TOML","bungcip","False","False","True","True","True","True","False","False","False","False","True"
"CSS Formatter","Martin Aeschlimann","False","False","False","True","True","True","False","False","False","False","True"
"Spring Boot Extension Pack","Pivotal","False","False","True","True","True","True","False","False","False","False","True"
"Error Lens","Alexander","False","False","True","True","True","True","False","False","False","False","False"
"Jest","Orta","False","False","True","True","True","True","True","False","False","False","True"
"Microsoft Edge Tools for VS Code","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"PlantUML","jebbs","False","False","True","True","True","True","False","False","True","False","True"
"Path Autocomplete","Mihai Vilcu","False","False","True","True","True","True","False","False","False","False","True"
"vscode-proto3","zxh404","False","False","True","False","True","True","False","False","False","False","True"
"SFTP","liximomo","False","False","True","True","True","True","False","False","False","False","True"
"Jira and Bitbucket (Atlassian Labs)","Atlassian","True","False","True","True","True","True","False","False","False","False","True"
"Color Picker","anseki","False","False","True","True","True","True","False","False","False","False","True"
"Makefile Tools","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"IntelliJ IDEA Keybindings","Keisuke Kato","False","False","True","True","True","True","False","False","False","False","True"
"TypeScript Hero","Christoph Bühler","False","False","False","False","False","False","False","False","False","False","False"
"Trailing Spaces","Shardul Mahadik","False","False","True","False","True","False","False","False","False","False","False"
"Azure Machine Learning - Remote","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Nx Console","nrwl","False","False","True","True","True","True","False","False","False","False","True"
"Azure CLI Tools","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Open in GitHub, Bitbucket, Gitlab, VisualStudio.com !","ziyasal","False","False","True","True","True","True","False","False","False","False","True"
"GraphQL: Language Feature Support","GraphQL Foundation","True","False","True","True","True","True","False","False","False","False","True"
"Discord Presence","Crawl","False","False","True","True","True","True","False","False","False","False","True"
"Azure App Service","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Node.js Modules Intellisense","Zongmin Lei","False","False","True","False","True","True","False","False","False","False","True"
"rust-analyzer","The Rust Programming Language ","True","False","True","True","True","True","False","False","False","False","True"
"Image preview","Kiss Tamás","False","False","True","True","True","True","False","False","False","False","True"
"Laravel Artisan","Ryan Naddy","False","False","True","True","True","True","False","False","False","False","True"
"SynthWave '84","Robb Owen","False","False","True","False","True","True","False","False","False","False","True"
"MySQL","Jun Han","False","False","True","True","True","True","False","False","False","False","False"
"Palenight Theme","Olaolu Olawuyi","False","False","True","True","True","True","False","False","False","False","True"
"View In Browser","qinjia","False","False","True","False","True","True","False","False","False","False","True"
"Salesforce CLI Integration","Salesforce","False","False","True","True","True","True","False","False","False","False","True"
"Cobalt2 Theme Official","Wes Bos","False","False","False","False","False","False","False","False","False","False","False"
"SQL Bindings","Microsoft","True","True","True","True","True","True","True","False","True","True","True"
"HTMLHint","Mike Kaufman","False","False","True","False","True","True","False","False","False","False","True"
"Chinese (Traditional) Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Version Lens","pflannery","False","False","True","True","True","True","False","False","False","False","True"
"Apex","Salesforce","False","False","True","True","True","True","False","False","False","False","True"
"Python Preview","dongli","False","False","True","True","True","True","False","False","False","True","True"
"Draw.io Integration","Henning Dieterichs","False","False","True","True","True","True","False","False","False","False","True"
"Notepad++ keymap","Microsoft","False","False","True","False","False","False","False","False","False","False","False"
"React-Native/React/Redux snippets for es6/es7","EQuimper","False","False","False","False","False","False","False","False","False","False","False"
"Azure Resource Manager (ARM) Tools","Microsoft","False","True","True","True","True","True","False","False","False","True","True"
"PHP Server","brapifra","False","False","True","True","True","True","False","False","False","False","True"
"Laravel goto view","codingyu","False","False","True","False","True","True","False","False","False","False","False"
"Unity Code Snippets","Kleber Silva","False","False","False","False","False","False","False","False","False","False","False"
"Stylelint","Stylelint","False","False","True","True","True","True","False","False","False","False","True"
"Aura Components","Salesforce","False","False","True","True","True","True","False","False","False","False","True"
"Clang-Format","xaver","False","False","True","False","True","True","False","False","False","False","True"
"Visualforce","Salesforce","False","False","True","True","True","True","False","False","False","False","True"
"PHP DocBlocker","Neil Brayfield","False","False","True","True","True","False","False","False","False","False","True"
"Git Extension Pack","Don Jayamanne","False","False","False","False","False","False","False","False","False","False","False"
"Apex Interactive Debugger","Salesforce","False","False","True","True","True","True","False","False","False","False","True"
"SCSS Formatter","Sibiraj","False","False","False","True","True","True","False","False","False","False","True"
"Angular Essentials (Version 13)","John Papa","False","False","False","False","False","False","False","False","False","False","False"
"Dependency Analytics","Red Hat","False","False","True","True","True","True","False","False","False","False","True"
"SCSS IntelliSense","mrmlnc","False","False","True","True","True","True","False","False","False","False","True"
"GitHub","KnisterPeter","False","False","True","True","True","True","False","False","False","False","True"
"Azure Databases","Microsoft","True","True","True","True","True","True","True","False","False","False","True"
"Lightning Web Components","Salesforce","False","False","True","True","True","True","False","False","False","False","True"
"Live HTML Previewer","Harshdeep Gupta","False","False","False","True","True","True","False","False","False","False","False"
